model,fold,train_images,validation_images,epochs_completed,best_epoch,precision,recall,fdr,f1,map50,map50_95,weight_size_bytes,weight_sha256
yolo26n,0,8820,846,133,84,0.96669,0.91752,0.03331,0.941463,0.94682,0.86294,5452421,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08
yolo26n,1,8766,900,131,81,0.93641,0.91064,0.06359,0.923345,0.93,0.84408,5448773,a61e213e20bc7f13d066d2c3a934b38e97a89d1d0b140c0e668948c7d83765df
yolo26n,2,8731,935,150,100,0.95204,0.93378,0.04796,0.942822,0.95484,0.86439,5455365,7e4e7d0ca52139775e23c0e4b6a64f0328295af23249b84327d63dc252a30daf
yolo26n,3,8767,899,145,95,0.94582,0.91342,0.05418,0.929338,0.94051,0.85486,5444613,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4
yolo26n,4,8766,900,139,89,0.97081,0.94858,0.02919,0.959566,0.96722,0.87462,5450181,2cab25a73b051ebee622e9d8aa2f862021b8f2e3c82897f3bcaed79190c05c00
yolo26s,0,8820,846,118,68,0.96275,0.93522,0.03725,0.948785,0.96115,0.88067,20392709,d0313605f9d78b05090118c5d12c5bc71598b950f152f9a64d9b8c78207d5784
yolo26s,1,8766,900,103,53,0.91359,0.9309,0.08641,0.922164,0.94283,0.85422,20386885,db2df3de07c8f9e4699a5d90cfaf7bd12b8394f528c61601c62e4d1b14a139d3
yolo26s,2,8731,935,116,66,0.95884,0.93327,0.04116,0.945882,0.96084,0.87408,20392389,74c6163096969496f5f88a0db73359fe671598a402522c1a1847ac2382a11a7c
yolo26s,3,8767,899,117,67,0.94983,0.93874,0.05017,0.944252,0.95465,0.87384,20382661,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f
yolo26s,4,8766,900,134,84,0.97602,0.95108,0.02398,0.963389,0.97085,0.89057,20392197,6bbfcdc267e6efdc1a4461425e63f3782df10bd9c4b881943c638c5ee4cc5f4b
