label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,0,HM,26,26,0.97400000,0.92300000,0.02600000,0.94781400,0.98700000,0.85900000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,1,LQS,5,5,0.73300000,0.60000000,0.26700000,0.65986500,0.61200000,0.57300000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,2,QHS,46,174,0.71500000,0.75100000,0.28500000,0.73255800,0.78700000,0.64600000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,3,MS,239,419,0.86600000,0.80200000,0.13400000,0.83277200,0.88100000,0.71800000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,4,A1_SU-35,56,243,0.97600000,0.97500000,0.02400000,0.97550000,0.98600000,0.90900000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,5,A2_C-130,58,263,0.98800000,0.97700000,0.01200000,0.98246900,0.98500000,0.93900000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,6,A3_C-17,51,212,1.00000000,0.99500000,0.00000000,0.99749400,0.99500000,0.92000000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,7,A4_C-5,24,92,0.98100000,0.91300000,0.01900000,0.94577900,0.95200000,0.87300000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,8,A5_F-16,48,244,0.99200000,0.99400000,0.00800000,0.99299900,0.99500000,0.90500000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,9,A6_TU-160,17,73,1.00000000,0.99600000,0.00000000,0.99799600,0.99500000,0.92100000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,10,A7_E-3,31,141,0.93300000,0.97900000,0.06700000,0.95544700,0.99100000,0.94300000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,11,A8_B-52,34,174,1.00000000,0.98700000,0.00000000,0.99345700,0.99500000,0.95100000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,12,A9_P-3C,37,198,0.99000000,0.97500000,0.01000000,0.98244300,0.99400000,0.91600000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,13,A10_B-1B,33,160,0.99600000,0.96900000,0.00400000,0.98231500,0.98100000,0.91800000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,14,A11_E-8,29,91,0.93400000,0.90100000,0.06600000,0.91720300,0.97700000,0.90800000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,15,A12_TU-22,40,114,1.00000000,0.97400000,0.00000000,0.98682900,0.99400000,0.91700000
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,16,A13_F-15,42,250,0.97600000,0.96400000,0.02400000,0.96996300,0.98900000,0.88200000
