label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,0,HM,26,26,0.91100000,0.96200000,0.08900000,0.93580600,0.99200000,0.91100000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,1,LQS,5,5,1.00000000,0.79800000,0.00000000,0.88765300,0.83300000,0.79900000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,2,QHS,46,174,0.70900000,0.83900000,0.29100000,0.76854100,0.83100000,0.68300000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,3,MS,239,419,0.82800000,0.84800000,0.17200000,0.83788100,0.90100000,0.74100000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,4,A1_SU-35,56,243,0.97600000,0.97500000,0.02400000,0.97550000,0.98100000,0.91500000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,5,A2_C-130,58,263,0.98800000,0.97900000,0.01200000,0.98347900,0.98500000,0.94100000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,6,A3_C-17,51,212,0.99700000,0.99100000,0.00300000,0.99399100,0.99500000,0.91900000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,7,A4_C-5,24,92,0.96000000,0.91300000,0.04000000,0.93591000,0.95700000,0.88700000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,8,A5_F-16,48,244,0.99400000,0.99200000,0.00600000,0.99299900,0.99500000,0.89400000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,9,A6_TU-160,17,73,0.99100000,1.00000000,0.00900000,0.99548000,0.99500000,0.92500000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,10,A7_E-3,31,141,0.99300000,0.99300000,0.00700000,0.99300000,0.98900000,0.94400000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,11,A8_B-52,34,174,0.99200000,0.97700000,0.00800000,0.98444300,0.99400000,0.95300000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,12,A9_P-3C,37,198,0.99100000,0.98500000,0.00900000,0.98799100,0.99300000,0.93700000
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,13,A10_B-1B,33,160,0.98900000,0.97500000,0.01100000,0.98195000,0.98200000,0.92300000
