label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,selected_epoch,training_date,training_run,training_data_config,checkpoint_ultralytics_version,evaluation_data_config,validation_images,validation_instances,precision,recall,fdr,f1,map50,map50_95,selection_precision,selection_recall,selection_fdr,selection_map50,selection_map50_95,delta_precision,delta_recall,delta_map50,delta_map50_95,runtime_seconds,preprocess_ms_per_image,inference_ms_per_image,postprocess_ms_per_image
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,84,2026-08-27T17:50:22.397856+00:00,yolo26n_final_fold0_img800_musgd_lr005_b64w16_u84126,data_fold0_autodl.yaml,8.4.126,data_fold0_autodl.yaml,846,4022,0.96669000,0.91752000,0.03331000,0.94146343,0.94682000,0.86294000,0.96669000,0.91752000,0.03331000,0.94682000,0.86294000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26n,fold1,best.pt,final_dataset_20260828_u84126/yolo26n/fold1/weights/best.pt,a61e213e20bc7f13d066d2c3a934b38e97a89d1d0b140c0e668948c7d83765df,81,2026-08-29T12:41:44.926032+00:00,yolo26n_final_fold1_img800_musgd_lr005_b64w16_u84126,data_fold1_autodl.yaml,8.4.126,data_fold1_autodl.yaml,900,4422,0.93641000,0.91064000,0.06359000,0.92334523,0.93000000,0.84408000,0.93641000,0.91064000,0.06359000,0.93000000,0.84408000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26n,fold2,best.pt,final_dataset_20260828_u84126/yolo26n/fold2/weights/best.pt,7e4e7d0ca52139775e23c0e4b6a64f0328295af23249b84327d63dc252a30daf,100,2026-08-29T14:12:21.641527+00:00,yolo26n_final_fold2_img800_musgd_lr005_b64w16_u84126,data_fold2_autodl.yaml,8.4.126,data_fold2_autodl.yaml,935,4664,0.95204000,0.93378000,0.04796000,0.94282160,0.95484000,0.86439000,0.95204000,0.93378000,0.04796000,0.95484000,0.86439000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26n,fold3,best.pt,final_dataset_20260828_u84126/yolo26n/fold3/weights/best.pt,303d016ddc6aa76da7dce95462b36cf8ebb6c69fa0ca46e807cf1b0f8a4aa1f4,95,2026-08-29T15:40:38.028271+00:00,yolo26n_final_fold3_img800_musgd_lr005_b64w16_u84126,data_fold3_autodl.yaml,8.4.126,data_fold3_autodl.yaml,899,4374,0.94582000,0.91342000,0.05418000,0.92933769,0.94051000,0.85486000,0.94582000,0.91342000,0.05418000,0.94051000,0.85486000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26n,fold4,best.pt,final_dataset_20260828_u84126/yolo26n/fold4/weights/best.pt,2cab25a73b051ebee622e9d8aa2f862021b8f2e3c82897f3bcaed79190c05c00,89,2026-08-29T17:05:02.403333+00:00,yolo26n_final_fold4_img800_musgd_lr005_b64w16_u84126,data_fold4_autodl.yaml,8.4.126,data_fold4_autodl.yaml,900,4243,0.97081000,0.94858000,0.02919000,0.95956627,0.96722000,0.87462000,0.97081000,0.94858000,0.02919000,0.96722000,0.87462000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26s,fold0,best.pt,final_dataset_20260828_u84126/yolo26s/fold0/weights/best.pt,d0313605f9d78b05090118c5d12c5bc71598b950f152f9a64d9b8c78207d5784,68,2026-08-27T19:38:56.476510+00:00,yolo26s_final_fold0_img800_musgd_lr005_b32w16_u84126,data_fold0_autodl.yaml,8.4.126,data_fold0_autodl.yaml,846,4022,0.96275000,0.93522000,0.03725000,0.94878534,0.96115000,0.88067000,0.96275000,0.93522000,0.03725000,0.96115000,0.88067000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26s,fold1,best.pt,final_dataset_20260828_u84126/yolo26s/fold1/weights/best.pt,db2df3de07c8f9e4699a5d90cfaf7bd12b8394f528c61601c62e4d1b14a139d3,53,2026-08-29T18:38:14.713635+00:00,yolo26s_final_fold1_img800_musgd_lr005_b32w16_u84126,data_fold1_autodl.yaml,8.4.126,data_fold1_autodl.yaml,900,4422,0.91359000,0.93090000,0.08641000,0.92216378,0.94283000,0.85422000,0.91359000,0.93090000,0.08641000,0.94283000,0.85422000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26s,fold2,best.pt,final_dataset_20260828_u84126/yolo26s/fold2/weights/best.pt,74c6163096969496f5f88a0db73359fe671598a402522c1a1847ac2382a11a7c,66,2026-08-29T20:22:04.746438+00:00,yolo26s_final_fold2_img800_musgd_lr005_b32w16_u84126,data_fold2_autodl.yaml,8.4.126,data_fold2_autodl.yaml,935,4664,0.95884000,0.93327000,0.04116000,0.94588222,0.96084000,0.87408000,0.95884000,0.93327000,0.04116000,0.96084000,0.87408000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26s,fold3,best.pt,final_dataset_20260828_u84126/yolo26s/fold3/weights/best.pt,b73e3fc72abbc5740f1f08893385b63a18572f44ac06f52c6595720fa48ea39f,67,2026-08-29T22:07:59.477785+00:00,yolo26s_final_fold3_img800_musgd_lr005_b32w16_u84126,data_fold3_autodl.yaml,8.4.126,data_fold3_autodl.yaml,899,4374,0.94983000,0.93874000,0.05017000,0.94425244,0.95465000,0.87384000,0.94983000,0.93874000,0.05017000,0.95465000,0.87384000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
final_dataset_20260828_u84126,yolo26s,fold4,best.pt,final_dataset_20260828_u84126/yolo26s/fold4/weights/best.pt,6bbfcdc267e6efdc1a4461425e63f3782df10bd9c4b881943c638c5ee4cc5f4b,84,2026-08-30T00:08:51.543282+00:00,yolo26s_final_fold4_img800_musgd_lr005_b32w16_u84126,data_fold4_autodl.yaml,8.4.126,data_fold4_autodl.yaml,900,4243,0.97602000,0.95108000,0.02398000,0.96338862,0.97085000,0.89057000,0.97602000,0.95108000,0.02398000,0.97085000,0.89057000,0.00000000,0.00000000,0.00000000,0.00000000,,,,
