model,fold,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
yolo26n,0,0,HM,15,16,0.966,0.938,0.034,0.951794,0.935,0.847
yolo26n,0,1,LQS,4,6,0.989,0.333,0.011,0.498241,0.491,0.458
yolo26n,0,2,QHS,40,111,0.787,0.685,0.213,0.732466,0.823,0.663
yolo26n,0,3,MS,243,463,0.879,0.849,0.121,0.86374,0.911,0.737
yolo26n,0,4,A1_SU-35,57,280,0.991,0.964,0.009,0.977314,0.991,0.915
yolo26n,0,5,A2_C-130,58,208,0.995,0.97,0.005,0.982341,0.993,0.944
yolo26n,0,6,A3_C-17,51,197,0.995,0.984,0.005,0.989469,0.985,0.94
yolo26n,0,7,A4_C-5,24,96,1.0,0.993,0.0,0.996488,0.995,0.954
yolo26n,0,8,A5_F-16,48,204,0.998,0.985,0.002,0.991457,0.994,0.89
yolo26n,0,9,A6_TU-160,18,64,0.979,1.0,0.021,0.989389,0.995,0.951
yolo26n,0,10,A7_E-3,31,91,0.995,0.978,0.005,0.986427,0.993,0.963
yolo26n,0,11,A8_B-52,33,114,0.995,1.0,0.005,0.997494,0.995,0.959
yolo26n,0,12,A9_P-3C,38,129,0.967,0.984,0.033,0.975426,0.991,0.914
yolo26n,0,13,A10_B-1B,31,144,0.996,0.979,0.004,0.987427,0.994,0.941
yolo26n,0,14,A11_E-8,29,81,0.925,0.963,0.075,0.943618,0.982,0.94
yolo26n,0,15,A12_TU-22,37,132,0.977,0.972,0.023,0.974494,0.994,0.887
yolo26n,0,16,A13_F-15,43,257,1.0,0.962,0.0,0.980632,0.99,0.844
yolo26n,0,17,A14_KC-135,71,282,0.982,0.979,0.018,0.980498,0.991,0.942
yolo26n,0,18,A15_F-22,23,90,0.981,0.989,0.019,0.984984,0.994,0.85
yolo26n,0,19,A16_FA-18,48,400,0.996,0.99,0.004,0.992991,0.994,0.939
yolo26n,0,20,A17_TU-95,60,224,0.993,0.964,0.007,0.978285,0.981,0.891
yolo26n,0,21,A18_KC-10,18,41,0.987,0.976,0.013,0.981469,0.993,0.941
yolo26n,0,22,A19_SU-34,57,169,0.971,0.993,0.029,0.981877,0.994,0.915
yolo26n,0,23,A20_SU-24,41,140,0.993,0.964,0.007,0.978285,0.986,0.878
yolo26n,0,24,FSC,14,83,0.831,0.53,0.169,0.647215,0.693,0.471
yolo26n,1,0,HM,22,24,0.94,1.0,0.06,0.969072,0.992,0.903
yolo26n,1,1,LQS,5,5,0.591,0.4,0.409,0.477094,0.427,0.308
yolo26n,1,2,QHS,46,99,0.766,0.687,0.234,0.724352,0.756,0.614
yolo26n,1,3,MS,238,432,0.834,0.826,0.166,0.829981,0.858,0.702
yolo26n,1,4,A1_SU-35,56,284,0.991,0.961,0.009,0.975769,0.981,0.905
yolo26n,1,5,A2_C-130,58,321,0.989,0.978,0.011,0.983469,0.995,0.943
yolo26n,1,6,A3_C-17,50,223,0.987,0.996,0.013,0.99148,0.994,0.925
yolo26n,1,7,A4_C-5,23,120,0.979,0.975,0.021,0.976996,0.994,0.946
yolo26n,1,8,A5_F-16,48,192,0.988,0.979,0.012,0.983479,0.975,0.879
yolo26n,1,9,A6_TU-160,17,79,0.984,1.0,0.016,0.991935,0.995,0.886
yolo26n,1,10,A7_E-3,31,109,0.863,0.963,0.137,0.910262,0.977,0.916
yolo26n,1,11,A8_B-52,33,140,0.989,1.0,0.011,0.99447,0.995,0.961
yolo26n,1,12,A9_P-3C,39,183,0.991,0.989,0.009,0.989999,0.994,0.938
yolo26n,1,13,A10_B-1B,33,176,0.985,0.96,0.015,0.972339,0.979,0.916
yolo26n,1,14,A11_E-8,27,97,0.944,0.948,0.056,0.945996,0.96,0.911
yolo26n,1,15,A12_TU-22,38,129,0.972,0.977,0.028,0.974494,0.994,0.911
