epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.2076,1.2659,5.45382,0.00759,0.49414,0.13012,0.09564,0.0727,0.87376,4.50431,0.00571,0.0049635,0.0016545,0.0049635,0.0016545,0.0718735,0.0685645,0.0049635,0.0016545
2,81.8484,1.23799,3.2706,0.00715,0.58092,0.46994,0.47398,0.38168,0.80285,2.7369,0.00531,0.00996242,0.00332081,0.00996242,0.00332081,0.0435391,0.0368974,0.00996242,0.00332081
3,117.416,1.20927,2.24629,0.00698,0.61575,0.58216,0.62266,0.49314,0.87194,2.02613,0.00559,0.014957,0.00498567,0.014957,0.00498567,0.0152003,0.00522898,0.014957,0.00498567
4,153.387,1.16638,1.71731,0.00668,0.67951,0.64742,0.69297,0.55778,0.82747,1.60656,0.00538,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512
5,189.405,1.14681,1.35168,0.00662,0.76801,0.69473,0.7714,0.6248,0.77146,1.17577,0.0052,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132
6,225.759,1.11046,1.12404,0.00639,0.76717,0.763,0.81969,0.67369,0.74009,0.9393,0.0048,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
7,261.839,1.10544,1.01024,0.00635,0.77894,0.82749,0.85375,0.70413,0.7236,0.72714,0.00485,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048
8,297.398,1.08166,0.94055,0.00621,0.84647,0.80221,0.85909,0.70258,0.74275,0.69685,0.00481,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345
9,333.161,1.06057,0.86292,0.00611,0.85619,0.75498,0.84166,0.69323,0.72949,0.723,0.00485,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534
10,369.732,1.05517,0.82791,0.00602,0.84277,0.84434,0.87656,0.74207,0.67126,0.5912,0.00451,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616
