epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,64.5613,1.31012,4.07363,0.00782,0.51029,0.56559,0.52683,0.42633,0.77809,1.62221,0.00519,0.00498175,0.00166058,0.00498175,0.00166058,0.0717701,0.0684489,0.00498175,0.00166058
2,119.313,1.12801,1.46259,0.00662,0.82488,0.69834,0.80034,0.66478,0.71618,0.83004,0.00479,0.00998067,0.00332689,0.00998067,0.00332689,0.0434357,0.0367819,0.00998067,0.00332689
3,173.189,1.08734,1.08704,0.00631,0.75224,0.71501,0.79614,0.61807,0.87586,0.91939,0.00579,0.0149752,0.00499175,0.0149752,0.00499175,0.0150969,0.0051134,0.0149752,0.00499175
4,227.199,1.07533,0.95329,0.00625,0.82636,0.77993,0.85395,0.70661,0.72362,0.64977,0.00491,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512,0.0149853,0.00499512
5,280.912,1.05038,0.84445,0.00612,0.88115,0.81806,0.89285,0.75275,0.65886,0.58631,0.0044,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132,0.014974,0.00499132
6,334.942,1.03407,0.81137,0.00604,0.88889,0.83916,0.90574,0.77099,0.64826,0.50903,0.0044,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644,0.0149593,0.00498644
7,388.83,1.01627,0.7335,0.00592,0.87593,0.80245,0.88323,0.75006,0.65186,0.55143,0.00443,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048,0.0149415,0.00498048
8,443.388,0.9979,0.69978,0.00576,0.90334,0.86035,0.91692,0.79379,0.59847,0.45455,0.00403,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345,0.0149203,0.00497345
9,496.9,0.99462,0.69075,0.00574,0.89208,0.8524,0.90509,0.78361,0.59942,0.46798,0.00407,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534,0.014896,0.00496534
10,550.902,0.97523,0.64829,0.00552,0.85909,0.82916,0.88481,0.75573,0.62686,0.55943,0.00425,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616,0.0148685,0.00495616
11,604.655,0.9653,0.64543,0.00549,0.90117,0.86518,0.91519,0.78588,0.5979,0.46413,0.00402,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592,0.0148377,0.00494592
12,658.286,0.95068,0.60586,0.00541,0.87437,0.87428,0.91228,0.78609,0.60932,0.46894,0.00408,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461,0.0148038,0.00493461
13,712.183,0.92266,0.59368,0.00528,0.90776,0.86762,0.91568,0.79375,0.59612,0.45951,0.00397,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224,0.0147667,0.00492224
14,765.944,0.92328,0.59794,0.00522,0.91402,0.87303,0.91882,0.79622,0.59146,0.42986,0.004,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883,0.0147265,0.00490883
15,820.343,0.9071,0.58322,0.00516,0.91685,0.87233,0.92608,0.80523,0.5678,0.40568,0.00387,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437,0.0146831,0.00489437
