label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,0,HM,3,3,0.63527431,1.00000000,0.36472569,0.77696360,0.99500000,0.91409250
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,1,LQS,5,8,0.53291691,0.14968768,0.46708309,0.23372564,0.70202941,0.57316586
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,2,QHS,39,125,0.78072756,0.71210828,0.21927244,0.74484085,0.79782525,0.54066307
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,3,MS,235,388,0.88079040,0.83788154,0.11920960,0.85880034,0.90575605,0.60049377
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,4,A1_SU-35,55,267,0.92446716,0.97003745,0.07553284,0.94670423,0.97930711,0.84175032
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,5,A2_C-130,57,340,0.97588348,0.99117647,0.02411652,0.98347053,0.99482507,0.80896133
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,6,A3_C-17,51,239,0.97792322,0.98326360,0.02207678,0.98058614,0.99162611,0.80195773
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,7,A4_C-5,23,123,0.97507936,1.00000000,0.02492064,0.98738246,0.99426623,0.89759448
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,8,A5_F-16,48,178,0.97412782,0.94382022,0.02587218,0.95873456,0.97189303,0.73097866
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,9,A6_TU-160,17,84,0.97488870,0.92438442,0.02511130,0.94896507,0.98895811,0.84104717
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,10,A7_E-3,31,98,0.98543324,0.96938776,0.01456676,0.97734465,0.99044687,0.83751724
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,11,A8_B-52,33,149,0.97984419,0.98657718,0.02015581,0.98319916,0.99288655,0.86308690
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,12,A9_P-3C,37,200,0.96740789,0.99500000,0.03259211,0.98100997,0.99429670,0.81641762
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,13,A10_B-1B,31,136,1.00000000,0.99851010,0.00000000,0.99925449,0.99500000,0.81690802
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,14,A11_E-8,31,110,0.92963687,0.96088882,0.07036313,0.94500453,0.97888588,0.82937546
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,15,A12_TU-22,37,108,0.98913135,0.99074074,0.01086865,0.98993539,0.99500000,0.88868731
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,16,A13_F-15,42,276,0.93627764,0.99275362,0.06372236,0.96368891,0.98125893,0.76608138
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,17,A14_KC-135,71,344,0.96772851,0.97965116,0.03227149,0.97365334,0.98734340,0.80408250
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,18,A15_F-22,22,98,0.96175246,0.87755102,0.03824754,0.91772441,0.95147101,0.70428009
new_labels,yolo26n,fold2,map_best.pt,new_labels/yolo26n/fold2/weights/map_best.pt,961166692bde9333e81e4a435056bd56b8da9ba78c974bd87b0e38699ebaa040,19,A16_FA-18,48,454,0.99674446,0.99339207,0.00325554,0.99506544,0.99500000,0.83353786
