label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,0,HM,2,2,0.68673897,1.00000000,0.31326103,0.81428008,0.99500000,0.89550000
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,1,LQS,5,5,0.80962830,0.85776978,0.19037170,0.83300406,0.92833333,0.77867949
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,2,QHS,38,104,0.73478414,0.74038462,0.26521586,0.73757375,0.77139075,0.51721283
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,3,MS,237,359,0.81461856,0.80786284,0.18538144,0.81122663,0.85358167,0.58030053
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,4,A1_SU-35,56,260,0.93197448,0.94849038,0.06802552,0.94015990,0.97322931,0.83974902
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,5,A2_C-130,57,195,0.96996769,0.99377272,0.03003231,0.98172592,0.99470000,0.77089797
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,6,A3_C-17,52,133,0.97738386,0.99248120,0.02261614,0.98487468,0.99455107,0.84086920
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,7,A4_C-5,23,88,0.95835397,0.95454545,0.04164603,0.95644592,0.98819620,0.88351341
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,8,A5_F-16,48,208,0.98334678,0.99519231,0.01665322,0.98923409,0.99113214,0.76923407
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,9,A6_TU-160,17,61,0.97771649,1.00000000,0.02228351,0.98873271,0.99483871,0.84771818
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,10,A7_E-3,32,119,0.96024169,0.96638655,0.03975831,0.96330432,0.99022682,0.83311551
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,11,A8_B-52,33,177,0.99379881,1.00000000,0.00620119,0.99688976,0.99500000,0.86299652
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,12,A9_P-3C,38,198,0.96930969,0.96464646,0.03069031,0.96697245,0.99132873,0.80367213
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,13,A10_B-1B,32,163,0.98109070,1.00000000,0.01890930,0.99045511,0.99500000,0.82319610
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,14,A11_E-8,31,46,0.84551949,0.82608696,0.15448051,0.83569027,0.88896200,0.76077535
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,15,A12_TU-22,37,106,0.97805097,0.99056604,0.02194903,0.98426872,0.99490566,0.83494146
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,16,A13_F-15,42,258,0.91716539,0.99224806,0.08283461,0.95323051,0.95131086,0.74121361
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,17,A14_KC-135,71,255,0.93595927,0.97434115,0.06404073,0.95476463,0.97401251,0.82226464
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,18,A15_F-22,23,104,0.90937652,0.76923077,0.09062348,0.83345331,0.87540520,0.68947789
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,19,A16_FA-18,48,440,0.97577717,0.99318182,0.02422283,0.98440257,0.99439947,0.84317424
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,20,A17_TU-95,60,234,0.98889456,1.00000000,0.01110544,0.99441628,0.99500000,0.88744178
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,21,A18_KC-10,16,57,1.00000000,0.93400228,0.00000000,0.96587505,0.97675625,0.84009375
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,22,A19_SU-34,56,205,0.95786694,0.92682927,0.04213306,0.94209253,0.96441750,0.76790313
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,23,A20_SU-24,40,162,0.98143394,0.96913580,0.01856606,0.97524610,0.99276415,0.80186385
new_labels,yolo26n,fold4,precision_fdr_best.pt,new_labels/yolo26n/fold4/weights/precision_fdr_best.pt,16799f1e177000f38b2c8678a52209280637fb9b302d7413e5b350ed3876f10c,24,FSC,13,88,0.75471548,0.43181818,0.24528452,0.54933101,0.52973439,0.17237318
