label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,0,HM,2,2,0.53344760,1.00000000,0.46655240,0.69574937,0.99500000,0.89550000
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,1,LQS,5,5,0.95165634,1.00000000,0.04834366,0.97522942,0.99500000,0.77580357
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,2,QHS,38,104,0.66254457,0.79291228,0.33745543,0.72188980,0.76269503,0.51322833
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,3,MS,237,359,0.76061183,0.84122563,0.23938817,0.79889025,0.85014172,0.57764361
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,4,A1_SU-35,56,260,0.92980263,0.96794700,0.07019737,0.94849146,0.96645333,0.83166740
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,5,A2_C-130,57,195,0.97522911,0.99487179,0.02477089,0.98495253,0.99479798,0.77739735
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,6,A3_C-17,52,133,0.98105094,0.98496241,0.01894906,0.98300278,0.99455437,0.83616926
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,7,A4_C-5,23,88,0.93666326,0.97727273,0.06333674,0.95653717,0.98317936,0.88139398
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,8,A5_F-16,48,208,0.93967537,1.00000000,0.06032463,0.96889963,0.99201623,0.76928647
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,9,A6_TU-160,17,61,0.95913009,1.00000000,0.04086991,0.97913875,0.99500000,0.85570626
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,10,A7_E-3,32,119,0.94056277,0.96638655,0.05943723,0.95329981,0.98716352,0.82651694
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,11,A8_B-52,33,177,0.98363419,1.00000000,0.01636581,0.99174958,0.99500000,0.85456531
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,12,A9_P-3C,38,198,0.94970074,0.99494949,0.05029926,0.97179868,0.99424280,0.79915259
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,13,A10_B-1B,32,163,0.99389434,0.99867161,0.00610566,0.99627725,0.99493902,0.82616756
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,14,A11_E-8,31,46,0.82336085,0.91304348,0.17663915,0.86588618,0.91914295,0.78630990
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,15,A12_TU-22,37,106,0.98136931,0.99388576,0.01863069,0.98758788,0.99490566,0.83874896
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,16,A13_F-15,42,258,0.93408310,0.98449612,0.06591690,0.95862728,0.95232792,0.74942191
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,17,A14_KC-135,71,255,0.92914620,0.99607843,0.07085380,0.96144884,0.98841674,0.83189382
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,18,A15_F-22,23,104,0.81350885,0.84615385,0.18649115,0.82951029,0.87622106,0.69349521
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,19,A16_FA-18,48,440,0.96898362,0.99403381,0.03101638,0.98134888,0.99447414,0.84179442
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,20,A17_TU-95,60,234,0.98842115,1.00000000,0.01157885,0.99417686,0.99500000,0.88678280
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,21,A18_KC-10,16,57,0.97673526,0.98245614,0.02326474,0.97958735,0.98833875,0.85887155
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,22,A19_SU-34,56,205,0.91931701,0.93170732,0.08068299,0.92547070,0.96889775,0.77007642
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,23,A20_SU-24,40,162,0.95185446,0.97631887,0.04814554,0.96393146,0.99280592,0.81030510
new_labels,yolo26n,fold4,recall_best.pt,new_labels/yolo26n/fold4/weights/recall_best.pt,8987c928535d5a320ad4617ae95799fcff5786e5723119352364339973c6c94d,24,FSC,13,88,0.59942805,0.48863636,0.40057195,0.53839155,0.51944503,0.17504313
