label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,0,HM,3,3,0.41854230,1.00000000,0.58145770,0.59010196,0.99500000,0.93136893
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,1,LQS,5,8,1.00000000,0.00000000,0.00000000,0.00000000,0.71512000,0.57705057
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,2,QHS,39,125,0.77738321,0.78222446,0.22261679,0.77979632,0.83582059,0.58864721
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,3,MS,235,388,0.86465035,0.84536082,0.13534965,0.85489679,0.89101966,0.59176103
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,4,A1_SU-35,55,267,0.94515349,0.96813258,0.05484651,0.95650504,0.97010450,0.83663541
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,5,A2_C-130,57,340,0.98726821,0.98823529,0.01273179,0.98775152,0.99470608,0.79815828
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,6,A3_C-17,51,239,0.98346851,0.99565939,0.01653149,0.98952640,0.99420273,0.81943951
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,7,A4_C-5,23,123,0.97440117,0.92840814,0.02559883,0.95084880,0.99074482,0.88421943
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,8,A5_F-16,48,178,0.98511944,0.96067416,0.01488056,0.97274325,0.97582149,0.73289348
new_labels,yolo26s,fold2,map_best.pt,new_labels/yolo26s/fold2/weights/map_best.pt,b1137000016e260686c6eef40846319a7b4a142a3d5d325ba9ae4fab95e7d98c,9,A6_TU-160,17,84,0.97593586,0.96562371,0.02406414,0.97075240,0.99288668,0.82542090
