label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,0,HM,2,2,1.00000000,0.83365705,0.00000000,0.90928350,0.99500000,0.69650000
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,1,LQS,5,5,0.51609984,0.80000000,0.48390016,0.62742941,0.69500000,0.51265138
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,2,QHS,41,163,0.51982367,0.77706386,0.48017633,0.62293172,0.62643816,0.39483035
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,3,MS,237,345,0.79019597,0.72052187,0.20980403,0.75375224,0.82013476,0.53857454
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,4,A1_SU-35,55,241,0.89819449,0.95182512,0.10180551,0.92423245,0.98051899,0.81824107
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,5,A2_C-130,58,252,0.98415424,0.99206349,0.01584576,0.98809304,0.99220063,0.80766454
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,6,A3_C-17,51,209,0.94965797,0.99521531,0.05034203,0.97190307,0.99330330,0.77458431
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,7,A4_C-5,23,84,0.92770628,0.91660509,0.07229372,0.92212228,0.97387564,0.84124076
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,8,A5_F-16,48,243,0.96443050,0.83950617,0.03556950,0.89764277,0.95829682,0.75395763
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,9,A6_TU-160,17,73,0.93493092,0.98630137,0.06506908,0.95992937,0.98494438,0.81954487
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,10,A7_E-3,32,137,0.92833989,0.94890511,0.07166011,0.93850986,0.97424734,0.84693664
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,11,A8_B-52,33,170,0.94238592,0.98823529,0.05761408,0.96476618,0.99423913,0.84308708
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,12,A9_P-3C,37,193,0.96991311,0.97409326,0.03008689,0.97199869,0.99312211,0.80956563
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,13,A10_B-1B,32,155,0.97672862,1.00000000,0.02327138,0.98822733,0.99409677,0.81945830
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,14,A11_E-8,31,95,0.92874598,0.76842105,0.07125402,0.84101087,0.92894652,0.74414573
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,15,A12_TU-22,38,111,0.90720752,0.99099099,0.09279248,0.94725022,0.98763608,0.83080105
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,16,A13_F-15,42,258,0.92681869,0.89534884,0.07318131,0.91081201,0.94952443,0.72315759
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,17,A14_KC-135,72,263,0.89530959,0.97551356,0.10469041,0.93369237,0.96841504,0.79325306
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,18,A15_F-22,23,115,0.81589762,0.88635657,0.18410238,0.84966889,0.89630306,0.66899950
new_labels,yolo26s,fold3,recall_best.pt,new_labels/yolo26s/fold3/weights/recall_best.pt,9e4922ad93bf154275d291d22bdc2d813ce2b976c7a1c9e55df436255555264c,19,A16_FA-18,48,396,0.95350144,0.98387726,0.04649856,0.96845122,0.98680003,0.79740108
