label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,0,HM,3,3,0.63391574,1.00000000,0.36608426,0.77594667,0.99500000,0.84768300
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,1,LQS,5,8,1.00000000,0.00000000,0.00000000,0.00000000,0.22643307,0.18631040
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,2,QHS,40,133,0.80405333,0.77443609,0.19594667,0.78896686,0.82492310,0.55415982
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,3,MS,237,434,0.92206618,0.77649770,0.07793382,0.84304426,0.88357274,0.56059077
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,4,A1_SU-35,55,267,0.96494463,0.92785562,0.03505537,0.94603675,0.97207008,0.83247275
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,5,A2_C-130,57,340,0.98662414,0.98529412,0.01337586,0.98595868,0.99479522,0.79488927
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,6,A3_C-17,51,239,0.98334160,0.98794764,0.01665840,0.98563924,0.99427804,0.79262278
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,7,A4_C-5,23,123,0.98665105,1.00000000,0.01334895,0.99328068,0.99491935,0.87816383
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,8,A5_F-16,48,178,0.99410070,0.94670249,0.00589930,0.96982282,0.97438522,0.73168090
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,9,A6_TU-160,17,84,0.96536246,0.99540440,0.03463754,0.98015329,0.98632184,0.80845210
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,10,A7_E-3,31,98,0.96906707,0.95902226,0.03093293,0.96401850,0.98938775,0.81723464
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,11,A8_B-52,33,149,0.99636581,1.00000000,0.00363419,0.99817960,0.99500000,0.86735574
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,12,A9_P-3C,37,200,0.98495048,0.98171485,0.01504952,0.98333000,0.99409813,0.80024633
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,13,A10_B-1B,31,136,0.99675217,0.99264706,0.00324783,0.99469538,0.99500000,0.83716198
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,14,A11_E-8,31,110,0.98119072,0.94847802,0.01880928,0.96455709,0.98713692,0.83720666
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,15,A12_TU-22,37,108,1.00000000,0.99511134,0.00000000,0.99754968,0.99500000,0.87278452
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,16,A13_F-15,42,276,0.94642975,0.99637681,0.05357025,0.97076124,0.98038083,0.76966796
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,17,A14_KC-135,71,344,0.97840229,0.97965116,0.02159771,0.97902633,0.99249194,0.81125406
original_labels,yolo26n,fold2,precision_fdr_best.pt,original_labels/yolo26n/fold2/weights/precision_fdr_best.pt,97a17a697cd13ec7979729090d22516b2663e527f46b2da7250c2eb5b61fdf8f,18,A15_F-22,22,98,0.97861286,0.93384482,0.02138714,0.95570486,0.96142513,0.67421382
