label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,0,HM,3,3,1.00000000,0.55894484,0.00000000,0.71708097,0.91250000,0.62741109
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,1,LQS,5,5,0.59681658,0.59363316,0.40318342,0.59522061,0.62765823,0.54498182
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,2,QHS,41,177,0.65461239,0.75141243,0.34538761,0.69968023,0.74381352,0.51191594
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,3,MS,238,377,0.73128674,0.81167109,0.26871326,0.76938500,0.83161321,0.56565494
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,4,A1_SU-35,55,241,0.93159547,0.99170124,0.06840453,0.96070916,0.98866818,0.85200997
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,5,A2_C-130,58,252,0.98533192,0.99206349,0.01466808,0.98868625,0.99424303,0.82247054
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,6,A3_C-17,51,209,0.96524992,1.00000000,0.03475008,0.98231773,0.99213205,0.81613521
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,7,A4_C-5,23,84,0.95407093,0.94047619,0.04592907,0.94722478,0.98080777,0.86242113
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,8,A5_F-16,48,243,0.95122954,0.90946502,0.04877046,0.92987857,0.98752438,0.76261868
original_labels,yolo26n,fold3,map_best.pt,original_labels/yolo26n/fold3/weights/map_best.pt,eed1c6de9717d7854c417493bb57da97007e52e7cf83d4a635074340321fefae,9,A6_TU-160,17,73,1.00000000,0.97413529,0.00000000,0.98689821,0.99460526,0.82489738
