label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,0,HM,3,3,0.72317895,1.00000000,0.27682105,0.83935444,0.91250000,0.79081885
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,1,LQS,5,5,0.83700400,1.00000000,0.16299600,0.91127074,0.99500000,0.79759722
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,2,QHS,41,120,0.80472241,0.72500000,0.19527759,0.76278381,0.75755214,0.50637118
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,3,MS,237,390,0.80649326,0.80769231,0.19350674,0.80709234,0.83796760,0.55064368
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,4,A1_SU-35,56,260,0.92016286,0.97523789,0.07983714,0.94690021,0.97148843,0.83202004
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,5,A2_C-130,57,195,0.99927009,0.98974359,0.00072991,0.99448403,0.99446602,0.81093589
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,6,A3_C-17,52,133,0.99858758,0.99248120,0.00141242,0.99552503,0.99500000,0.84196535
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,7,A4_C-5,23,88,0.98134606,0.98863636,0.01865394,0.98497772,0.99407216,0.87857634
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,8,A5_F-16,48,208,0.99190031,1.00000000,0.00809969,0.99593369,0.99241627,0.75978812
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,9,A6_TU-160,17,61,0.95892093,1.00000000,0.04107907,0.97902974,0.99483871,0.87135977
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,10,A7_E-3,32,119,0.98676233,0.98319328,0.01323767,0.98497457,0.98970372,0.84626779
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,11,A8_B-52,33,177,0.98734411,1.00000000,0.01265589,0.99363176,0.99500000,0.86745934
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,12,A9_P-3C,38,198,0.95981197,0.99494949,0.04018803,0.97706493,0.99281285,0.81857054
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,13,A10_B-1B,32,163,0.99089970,1.00000000,0.00910030,0.99542905,0.99500000,0.82047662
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,14,A11_E-8,31,46,0.84232563,0.92915859,0.15767437,0.88361396,0.90766656,0.77244762
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,15,A12_TU-22,37,106,0.98250324,0.99056604,0.01749676,0.98651816,0.99490566,0.84395753
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,16,A13_F-15,42,258,0.93861996,0.98837209,0.06138004,0.96285376,0.96375541,0.75872926
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,17,A14_KC-135,71,255,0.97226853,0.98823529,0.02773147,0.98018689,0.98713875,0.83692064
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,18,A15_F-22,23,104,0.98054425,0.88461538,0.01945575,0.93011291,0.95051316,0.76551114
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,19,A16_FA-18,48,440,0.99008730,0.99318182,0.00991270,0.99163214,0.99495434,0.85197732
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,20,A17_TU-95,60,234,0.99415057,1.00000000,0.00584943,0.99706670,0.99500000,0.89467768
original_labels,yolo26n,fold4,recall_best.pt,original_labels/yolo26n/fold4/weights/recall_best.pt,6049cb41d9f246c617f9c3b7fc76a4fd20d00db6c75498f1a877f5e5e3afc36b,21,A18_KC-10,16,57,1.00000000,0.96167512,0.00000000,0.98046319,0.98909231,0.86026225
