label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,0,HM,3,3,0.82882050,1.00000000,0.17117950,0.90639896,0.99500000,0.93436000
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,1,LQS,5,5,1.00000000,0.84309037,0.00000000,0.91486602,0.99500000,0.80238636
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,2,QHS,41,120,0.86271794,0.67500000,0.13728206,0.75740107,0.77419110,0.50915031
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,3,MS,237,390,0.82573545,0.80188467,0.17426455,0.81363530,0.84267335,0.55671718
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,4,A1_SU-35,56,260,0.92804443,0.97692308,0.07195557,0.95185668,0.97370854,0.84628364
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,5,A2_C-130,57,195,0.99589352,0.99487179,0.00410648,0.99538240,0.99500000,0.78400186
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,6,A3_C-17,52,133,0.99246683,0.99058414,0.00753317,0.99152459,0.99492481,0.84666849
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,7,A4_C-5,23,88,0.98307305,0.98863636,0.01692695,0.98584686,0.99455051,0.87684566
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,8,A5_F-16,48,208,0.99111921,0.99519231,0.00888079,0.99315159,0.99384615,0.78111515
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,9,A6_TU-160,17,61,0.98580024,1.00000000,0.01419976,0.99284935,0.99500000,0.85351407
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,10,A7_E-3,32,119,0.96911051,0.97478992,0.03088949,0.97194192,0.98932588,0.84634160
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,11,A8_B-52,33,177,0.99435995,0.99607183,0.00564005,0.99521516,0.99500000,0.86954224
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,12,A9_P-3C,38,198,0.97523241,0.99432962,0.02476759,0.98468843,0.99449992,0.81420747
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,13,A10_B-1B,32,163,0.99672652,0.99386503,0.00327348,0.99529372,0.99500000,0.83148362
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,14,A11_E-8,31,46,0.87373342,0.91304348,0.12626658,0.89295603,0.94501220,0.78302019
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,15,A12_TU-22,37,106,0.98134956,0.99280908,0.01865044,0.98704606,0.99471958,0.85635365
original_labels,yolo26s,fold4,map_best.pt,original_labels/yolo26s/fold4/weights/map_best.pt,5d6f12645515c8c918a6a34af52b833c5ad08950b412a7812511b08c4cd13b69,16,A13_F-15,42,258,0.93403005,0.99612403,0.06596995,0.96407824,0.96157669,0.75598353
