label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,0,HM,3,3,1.00000000,1.00000000,0.00000000,1.00000000,0.99500000,0.80766333
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,1,LQS,5,5,0.99565189,1.00000000,0.00434811,0.99782121,0.99500000,0.78000000
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,2,QHS,41,120,0.85990769,0.68333333,0.14009231,0.76151888,0.74449581,0.48068960
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,3,MS,237,390,0.81917586,0.79487179,0.18082414,0.80684084,0.83560738,0.54406538
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,4,A1_SU-35,56,260,0.95376160,0.95202113,0.04623840,0.95289057,0.97143390,0.84457331
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,5,A2_C-130,57,195,1.00000000,0.98806171,0.00000000,0.99399501,0.99484772,0.79138042
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,6,A3_C-17,52,133,0.97801626,0.99248120,0.02198374,0.98519564,0.99469923,0.84081045
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,7,A4_C-5,23,88,0.99599385,0.98863636,0.00400615,0.99230147,0.99467033,0.87272751
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,8,A5_F-16,48,208,0.99042405,0.99450527,0.00957595,0.99246046,0.99326087,0.78310796
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,9,A6_TU-160,17,61,0.98992804,1.00000000,0.01007196,0.99493853,0.99500000,0.85777089
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,10,A7_E-3,32,119,0.99862063,0.98319328,0.00137937,0.99084691,0.99031412,0.84449049
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,11,A8_B-52,33,177,0.99436643,0.99722533,0.00563357,0.99579383,0.99500000,0.87251956
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,12,A9_P-3C,38,198,0.98709787,0.99494949,0.01290213,0.99100813,0.99469645,0.81365474
original_labels,yolo26s,fold4,precision_fdr_best.pt,original_labels/yolo26s/fold4/weights/precision_fdr_best.pt,43c87226a9043bdcc95038ea21531caa17d170668bb854399efe46f49ab96aa0,13,A10_B-1B,32,163,0.99146024,1.00000000,0.00853976,0.99571181,0.99493902,0.83373396
