label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,0,HM,3,3,1.00000000,1.00000000,0.00000000,1.00000000,0.99500000,0.80766333
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,1,LQS,5,5,1.00000000,0.98671848,0.00000000,0.99331484,0.99500000,0.77927083
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,2,QHS,41,120,0.79952366,0.70833333,0.20047634,0.75117105,0.75410548,0.48422848
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,3,MS,237,390,0.80064698,0.81025641,0.19935302,0.80542303,0.83314407,0.54803879
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,4,A1_SU-35,56,260,0.93566759,0.97692308,0.06433241,0.95585038,0.97125890,0.84547799
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,5,A2_C-130,57,195,0.99205490,0.98974359,0.00794510,0.99089790,0.99489796,0.79215130
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,6,A3_C-17,52,133,0.96200914,0.99248120,0.03799086,0.97700763,0.99484962,0.84429775
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,7,A4_C-5,23,88,0.99290058,0.98863636,0.00709942,0.99076388,0.99467033,0.87184292
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,8,A5_F-16,48,208,0.98481234,0.99519231,0.01518766,0.98997512,0.99321256,0.78332063
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,9,A6_TU-160,17,61,0.98671479,1.00000000,0.01328521,0.99331298,0.99500000,0.85473299
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,10,A7_E-3,32,119,0.99654499,0.98319328,0.00345501,0.98982411,0.99031412,0.84444058
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,11,A8_B-52,33,177,0.99437384,0.99854369,0.00562616,0.99645440,0.99500000,0.87030414
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,12,A9_P-3C,38,198,0.97082489,0.99494949,0.02917511,0.98273916,0.99449486,0.81435534
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,13,A10_B-1B,32,163,0.99425507,1.00000000,0.00574493,0.99711926,0.99500000,0.83414825
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,14,A11_E-8,31,46,0.88987647,0.87845349,0.11012353,0.88412809,0.93890840,0.78134682
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,15,A12_TU-22,37,106,0.99276072,0.99056604,0.00723928,0.99166217,0.99500000,0.85967307
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,16,A13_F-15,42,258,0.93469152,0.99851128,0.06530848,0.96554797,0.95842788,0.76026121
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,17,A14_KC-135,71,255,0.95540699,0.98039216,0.04459301,0.96773833,0.98331758,0.83355657
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,18,A15_F-22,23,104,0.98691561,0.89423077,0.01308439,0.93828988,0.94114869,0.75143763
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,19,A16_FA-18,48,440,0.99093541,0.99381405,0.00906459,0.99237264,0.99486249,0.84718821
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,20,A17_TU-95,60,234,0.98802379,1.00000000,0.01197621,0.99397582,0.99500000,0.91743446
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,21,A18_KC-10,16,57,1.00000000,0.93242095,0.00000000,0.96502882,0.98735026,0.85260481
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,22,A19_SU-34,56,205,0.94808687,0.93170732,0.05191313,0.93982573,0.96423389,0.78357403
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,23,A20_SU-24,40,162,0.98417961,0.99382716,0.01582039,0.98897986,0.99487730,0.83484829
original_labels,yolo26s,fold4,recall_best.pt,original_labels/yolo26s/fold4/weights/recall_best.pt,887c7c6469a484df02833e13fbc61f91fc4031e6deba636f3b88a0fda5247842,24,FSC,13,88,0.83672690,0.55681818,0.16327310,0.66866118,0.71523829,0.24489509
